НомерАвто,МаркаАвто,Возмещено,Штрафы
Y966O8197RUS,Ford Focus,2,31200
K2807K154RUS,Ford Focus,1,500
Y7449Y50RUS,Ford Focus,1,16000
T6418M116RUS,Ford Focus,2,24600
9618EC178RUS,Ford Focus,1,1500
T6039O50RUS,Ford Focus,,1500
E28877161RUS,Ford Focus,1,500
X757HY197RUS,Ford Focus,2,13600
705287163RUS,Ford Focus,1,2000
Y275O8197RUS,Ford Focus,1,3000
7066C8197RUS,Volkswagen Passat,,9000
92898M178RUS,Ford Focus,2,1600
M578CH197RUS,Ford Focus,1,9000
T406CT96RUS,Volkswagen Golf,1,300
705287163RUS,Ford Focus,1,2000
Y544O8161RUS,Volkswagen Passat,1,500
T483CT96RUS,Ford Focus,1,500
7370C8197RUS,Ford Focus,1,10000
T6439O50RUS,Ford Focus,1,5500
M0309X197RUS,Ford Focus,2,44600
T6458M116RUS,Ford Focus,2,10000
X767HY197RUS,Ford Focus,1,18000
O83697197RUS,Ford Focus,2,6100
E29577161RUS,Ford Focus,1,500
H220X836RUS,Ford Focus,2,21000
O134HE197RUS,Ford Focus,2,7600
T6428M116RUS,Ford Focus,2,3000
7829C8197RUS,Ford Focus,,1800
Y352O8197RUS,Ford Focus,1,129500
97987H178RUS,Ford Focus,1,2500
C922YE197RUS,Volkswagen Golf,1,3800
9453OK178RUS,Volkswagen Jetta,1,2500
9136X938RUS,Ford Focus,1,1800
9975CC77RUS,Ford Focus,1,3500
707687163RUS,Ford Focus,1,500
Y8399C197RUS,Ford Focus,1,1800
K2807K154RUS,Ford Focus,2,1000
M818E877RUS,Skoda Octavia,,500
Y147E877RUS,Ford Focus,1,500
8201XX154RUS,Ford Focus,1,2600
Y7689C197RUS,Ford Focus,2,9000
O02297197RUS,Volkswagen Jetta,1,1600
Y964EE197RUS,Ford Focus,1,3000
9182CE154RUS,Ford Focus,2,6600
704787163RUS,Ford Focus,2,2800
90129H178RUS,Skoda Octavia,1,1000
9763HY161RUS,Ford Focus,2,2700
K522OH152RUS,Ford Focus,2,2500
9618EC178RUS,Ford Focus,2,1500
T6049O50RUS,Ford Focus,2,75000
9822H8161RUS,Ford Focus,1,300
Y354O8197RUS,Ford Focus,1,10800
9583EY178RUS,Ford Focus,2,4300
M372CH197RUS,Ford Focus,2,14400
Y960EE197RUS,Skoda Octavia,2,9000
M2068Y125RUS,Ford Focus,2,1500
M818E877RUS,Skoda Octavia,1,500
Y273O8197RUS,Ford Focus,1,52600
H427YH197RUS,Volkswagen Passat,2,19800
8440XX154RUS,Ford Focus,2,3100
M2179X197RUS,Ford Focus,2,300
9068EM178RUS,Ford Focus,1,300
K376HE161RUS,Ford Focus,2,100
73467Y96RUS,Ford Focus,2,800
Y7399Y50RUS,Ford Focus,2,9000
E6849O154RUS,Volkswagen Golf,2,200
X4128H125RUS,Ford Focus,1,500
Y352O8197RUS,Ford Focus,2,51800
Y7719C197RUS,Ford Focus,2,4600
H385TM197RUS,Volkswagen Passat,2,19000
H385TM197RUS,Volkswagen Passat,1,9500
T6559O50RUS,Ford Focus,1,2000
82337X197RUS,Ford Focus,1,2100
8234XX154RUS,Ford Focus,2,2600
T020MM116RUS,Skoda Octavia,2,3000
H235YH197RUS,Skoda Octavia,1,5100
O6939X163RUS,Ford Focus,2,7200
T341CC96RUS,Volkswagen Passat,1,1000
Y7229Y50RUS,Ford Focus,2,2500
705387163RUS,Ford Focus,2,2100
E5878M777RUS,Skoda Octavia,2,17000
T395OT197RUS,Volkswagen Touareg,,1200
C513X938RUS,Ford Focus,2,200
E394MO152RUS,Ford Focus,2,3500
E42577152RUS,Ford Focus,2,7400
9428EX178RUS,Ford Focus,1,1000
T6559O50RUS,Ford Focus,1,2000
Y963O8197RUS,Ford Focus,2,21600
E307EH197RUS,BMW,2,13100
T6349O50RUS,Ford Focus,1,12000
O515CX197RUS,Ford Mondeo,2,3900
O6919X163RUS,Ford Focus,2,2400
M0289X197RUS,Ford Focus,2,40600
7177TT36RUS,Ford Focus,1,500
H958HY161RUS,Ford Focus,1,600
Y963O8197RUS,Ford Focus,1,43200
T377KX197RUS,Ford Focus,2,13000
7367C8197RUS,Ford Focus,1,3000
705287163RUS,Ford Focus,2,1000
8685HE154RUS,Ford Focus,1,500
O422Y9163RUS,Volkswagen Golf,2,800
C410X938RUS,Ford Focus,1,1100
7367C8197RUS,Ford Focus,1,6000
O058M7161RUS,Ford Focus,1,1900
9132EE178RUS,Volkswagen Golf,1,500
E645TH36RUS,Ford Focus,2,2400
X018HY197RUS,Toyota Camry,,21200
T395KX197RUS,Ford Focus,2,7600
O02197197RUS,Ford Focus,2,10300
E41577152RUS,Ford Focus,1,3000
C798ET50RUS,Ford Focus,2,5000
T6319O50RUS,Ford Focus,1,6500
7362C8197RUS,Ford Focus,1,4300
X4148H125RUS,Ford Focus,2,300
Y214O8161RUS,Ford Focus,1,1300
M0319X197RUS,Ford Focus,2,4500
7183TT36RUS,Ford Focus,2,10800
Y353O8197RUS,Ford Focus,2,21800
X783CO96RUS,Ford Focus,2,3000
M741T9152RUS,Ford Focus,1,1000
Y655E8750RUS,Skoda Octavia,,2600
O21897197RUS,Ford Focus,2,400
K338T8197RUS,Ford Focus,2,5800
E807HE77RUS,Ford Focus,1,4500
7173TT36RUS,Ford Focus,1,600
9371CE154RUS,Skoda Octavia,1,1000
M0299X197RUS,Ford Focus,2,19200
